Date,Time,RunUid,CallPath,Name,Succeeded
2021-03-08,10:13:17+08:00,6D27663D02-EC32-0039FB21C8FB4300,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,0,0,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21C9060200.jpg
2021-03-08,10:13:42+08:00,6D27663D02-EC32-0039FB21C95DA600,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,0,0,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21C9680A01.jpg
2021-03-08,10:14:05+08:00,6D27663D02-EC32-0039FB21C9BA8E00,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,0,0,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21C9C4FC01.jpg
2021-03-08,10:14:26+08:00,6D27663D02-EC32-0039FB21CA09DB00,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,0,0,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21CA145101.jpg
2021-03-08,10:18:39+08:00,6D27663D02-EC32-0039FB21CDE5A300,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,0.00347519170575373,0,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21CDF16C01.jpg
2021-03-08,10:18:58+08:00,6D27663D02-EC32-0039FB21CE312C00,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,1.00347519170575373,1.1,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21CE3B7401.jpg
2021-03-08,10:20:04+08:00,6D27663D02-EC32-0039FB21CF332300,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,2.00347519170575373,1.2,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21CF3D0901.jpg
2021-03-08,10:23:21+08:00,6D27663D02-EC32-0039FB21D2366900,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,3.00347519170575373,1.3,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21D2410401.jpg
2021-03-08,10:24:03+08:00,6D27663D02-EC32-0039FB21D2D98B00,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,4.00347519170575373,1.4,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21D2E45001.jpg
2021-03-08,10:24:55+08:00,6D27663D02-EC32-0039FB21D3A30000,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,5.00347519170575373,1.5,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21D3AD1301.jpg
2021-03-08,10:24:55+08:00,6D27663D02-EC32-0039FB21D3A30000,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,9.00347519170575373,1.5,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21D3AD1301.jpg
Date,Time,RunUid,CallPath,Name,Succeeded
2021-03-08,10:13:17+08:00,6D27663D02-EC32-0039FB21C8FB4300,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,0,0,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21C9060200.jpg
2021-03-08,10:13:42+08:00,6D27663D02-EC32-0039FB21C95DA600,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,0,0,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21C9680A01.jpg
2021-03-08,10:14:05+08:00,6D27663D02-EC32-0039FB21C9BA8E00,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,0,0,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21C9C4FC01.jpg
2021-03-08,10:14:26+08:00,6D27663D02-EC32-0039FB21CA09DB00,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,0,0,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21CA145101.jpg
2021-03-08,10:18:39+08:00,6D27663D02-EC32-0039FB21CDE5A300,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,0.00347519170575373,0,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21CDF16C01.jpg
2021-03-08,10:18:58+08:00,6D27663D02-EC32-0039FB21CE312C00,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,1.00347519170575373,1.1,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21CE3B7401.jpg
2021-03-08,10:20:04+08:00,6D27663D02-EC32-0039FB21CF332300,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,2.00347519170575373,1.2,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21CF3D0901.jpg
2021-03-08,10:23:21+08:00,6D27663D02-EC32-0039FB21D2366900,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,3.00347519170575373,1.3,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21D2410401.jpg
2021-03-08,10:24:03+08:00,6D27663D02-EC32-0039FB21D2D98B00,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,4.00347519170575373,1.4,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21D2E45001.jpg
2021-03-08,10:24:55+08:00,6D27663D02-EC32-0039FB21D3A30000,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,5.00347519170575373,1.5,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21D3AD1301.jpg
2021-03-08,10:24:55+08:00,6D27663D02-EC32-0039FB21D3A30000,<start>:0;Conveyor_PositionRepeatability.v2k:1,template_match,True,Offset,9.00347519170575373,1.5,Rotation,X,Ignore,False,Image,.\blob\2021\20210308\pic\6D27663D02-EC32-0039FB21D3AD1301.jpg
